graph_id,n,m,edges,best_k,best_ordering,best_coloring,num_orderings,num_optimal_orderings,has_hamiltonian_path,max_degree,avg_degree,clique_number,num_deg_ge_2,num_deg_ge_3,num_deg_ge_5,num_isolated,num_components,component_sizes,density
0,2,0,[],1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,0,0,0.0,1,0,0,0,2,2,"[1, 1]",0
1,7,6,"[[0, 1], [0, 2], [0, 3], [0, 6], [2, 6], [4, 5]]",2,"[1, 2, 0, 6, 3, 4, 5]","{""0"": 1, ""2"": 2, ""6"": 2, ""1"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",5040,112,0,4,1.7142857142857142,3,3,1,0,0,2,"[5, 2]",0.2857142857142857
2,3,2,"[[0, 2], [1, 2]]",1,"[0, 2, 1]","{""0"": 1, ""1"": 1, ""2"": 1}",6,2,1,2,1.3333333333333333,2,1,0,0,0,1,[3],0.6666666666666666
3,4,3,"[[0, 1], [1, 2], [2, 3]]",1,"[0, 1, 2, 3]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}",24,2,1,2,1.5,2,2,0,0,0,1,[4],0.5
4,6,5,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]",1,"[0, 1, 2, 3, 4, 5]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",720,2,1,2,1.6666666666666667,2,4,0,0,0,1,[6],0.3333333333333333
5,7,6,"[[0, 1], [0, 2], [0, 3], [3, 4], [4, 5], [5, 6]]",2,"[1, 0, 2, 3, 4, 5, 6]","{""2"": 1, ""0"": 2, ""3"": 2, ""1"": 1, ""4"": 1, ""5"": 1, ""6"": 1}",5040,160,0,3,1.7142857142857142,2,4,1,0,0,1,[7],0.2857142857142857
6,7,20,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6]]",5,"[5, 0, 1, 2, 3, 4, 6]","{""1"": 1, ""2"": 2, ""3"": 3, ""0"": 4, ""4"": 5, ""5"": 5, ""6"": 4}",5040,240,1,6,5.714285714285714,6,7,7,7,0,1,[7],0.9523809523809523
7,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
8,7,7,"[[0, 1], [0, 6], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6]]",2,"[0, 1, 2, 3, 4, 5, 6]","{""0"": 1, ""6"": 1, ""1"": 2, ""2"": 2, ""3"": 2, ""4"": 2, ""5"": 2}",5040,224,1,2,2.0,2,7,0,0,0,1,[7],0.3333333333333333
9,3,0,[],1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,6,0,0,0.0,1,0,0,0,3,3,"[1, 1, 1]",0
10,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
11,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
12,10,9,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9]]",1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1}",512,1,1,2,1.8,2,8,0,0,0,1,[10],0.2
13,7,5,"[[0, 1], [1, 2], [2, 3], [3, 4], [5, 6]]",1,"[0, 1, 2, 3, 4, 5, 6]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}",5040,8,0,2,1.4285714285714286,2,3,0,0,0,2,"[5, 2]",0.23809523809523808
14,5,0,[],1,"[0, 1, 2, 3, 4]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1}",120,120,0,0,0.0,1,0,0,0,5,5,"[1, 1, 1, 1, 1]",0
15,8,8,"[[0, 1], [1, 2], [2, 6], [3, 4], [3, 5], [4, 5], [4, 7], [6, 7]]",2,"[0, 1, 2, 6, 7, 3, 4, 5]","{""3"": 1, ""4"": 2, ""5"": 1, ""7"": 2, ""0"": 1, ""1"": 1, ""2"": 1, ""6"": 1}",40320,192,1,3,2.0,3,7,1,0,0,1,[8],0.2857142857142857
16,8,2,"[[0, 1], [4, 5]]",1,"[0, 1, 2, 3, 4, 5, 6, 7]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1}",40320,2880,0,1,0.5,2,0,0,0,4,6,"[2, 2, 1, 1, 1, 1]",0.07142857142857142
17,5,2,"[[0, 1], [3, 4]]",1,"[0, 1, 2, 3, 4]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1}",120,24,0,1,0.8,2,0,0,0,1,3,"[2, 2, 1]",0.2
18,10,13,"[[0, 2], [0, 3], [0, 5], [1, 5], [2, 3], [2, 9], [3, 9], [4, 5], [4, 7], [6, 7], [6, 8], [7, 8], [8, 9]]",3,"[0, 2, 3, 9, 8, 6, 7, 4, 5, 1]","{""0"": 1, ""5"": 1, ""3"": 2, ""6"": 2, ""2"": 3, ""7"": 3, ""8"": 3, ""9"": 3, ""4"": 2, ""1"": 1}",512,3,1,3,2.6,3,9,7,0,0,1,[10],0.28888888888888886
19,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
20,2,0,[],1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,0,0,0.0,1,0,0,0,2,2,"[1, 1]",0
21,3,1,"[[1, 2]]",1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,4,0,1,0.6666666666666666,2,0,0,0,1,2,"[2, 1]",0.3333333333333333
22,5,4,"[[0, 1], [0, 2], [0, 3], [0, 4]]",2,"[1, 2, 0, 3, 4]","{""0"": 1, ""2"": 2, ""3"": 2, ""1"": 1, ""4"": 1}",120,24,0,4,1.6,2,1,1,0,0,1,[5],0.4
23,5,4,"[[0, 1], [1, 2], [2, 3], [3, 4]]",1,"[0, 1, 2, 3, 4]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1}",120,2,1,2,1.6,2,3,0,0,0,1,[5],0.4
24,3,1,"[[0, 1]]",1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,4,0,1,0.6666666666666666,2,0,0,0,1,2,"[2, 1]",0.3333333333333333
25,3,2,"[[0, 1], [1, 2]]",1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,2,1,2,1.3333333333333333,2,1,0,0,0,1,[3],0.6666666666666666
26,7,6,"[[0, 2], [0, 3], [1, 5], [1, 6], [2, 4], [4, 5]]",1,"[3, 0, 2, 4, 5, 1, 6]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}",5040,2,1,2,1.7142857142857142,2,5,0,0,0,1,[7],0.2857142857142857
27,12,0,[],1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1, ""10"": 1, ""11"": 1}",512,512,0,0,0.0,1,0,0,0,12,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0
28,3,1,"[[1, 2]]",1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,4,0,1,0.6666666666666666,2,0,0,0,1,2,"[2, 1]",0.3333333333333333
29,6,6,"[[0, 1], [0, 2], [1, 4], [2, 3], [2, 4], [4, 5]]",2,"[0, 1, 2, 4, 3, 5]","{""1"": 1, ""2"": 2, ""4"": 1, ""3"": 2, ""0"": 2, ""5"": 1}",720,24,1,3,2.0,2,4,2,0,0,1,[6],0.4
30,4,6,"[[0, 1], [0, 2], [0, 3], [1, 2], [1, 3], [2, 3]]",3,"[0, 1, 2, 3]","{""1"": 1, ""2"": 2, ""0"": 3, ""3"": 3}",24,24,1,3,3.0,4,4,4,0,0,1,[4],1.0
31,5,0,[],1,"[0, 1, 2, 3, 4]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1}",120,120,0,0,0.0,1,0,0,0,5,5,"[1, 1, 1, 1, 1]",0
32,4,3,"[[0, 2], [1, 3], [2, 3]]",1,"[0, 2, 3, 1]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}",24,2,1,2,1.5,2,2,0,0,0,1,[4],0.5
33,7,7,"[[0, 1], [0, 2], [2, 3], [2, 6], [3, 4], [3, 5], [3, 6]]",2,"[0, 1, 2, 6, 3, 4, 5]","{""1"": 1, ""2"": 2, ""6"": 1, ""3"": 2, ""4"": 1, ""0"": 2, ""5"": 2}",5040,32,0,4,2.0,3,4,2,0,0,1,[7],0.3333333333333333
34,12,66,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10], [3, 11], [4, 5], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10], [4, 11], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [7, 8], [7, 9], [7, 10], [7, 11], [8, 9], [8, 10], [8, 11], [9, 10], [9, 11], [10, 11]]",11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""0"": 11, ""11"": 11}",512,512,1,11,11.0,12,12,12,12,0,1,[12],1.0
35,12,66,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10], [3, 11], [4, 5], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10], [4, 11], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [7, 8], [7, 9], [7, 10], [7, 11], [8, 9], [8, 10], [8, 11], [9, 10], [9, 11], [10, 11]]",11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9, ""10"": 10, ""0"": 11, ""11"": 11}",512,512,1,11,11.0,12,12,12,12,0,1,[12],1.0
36,9,27,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 8], [1, 2], [1, 3], [1, 5], [1, 6], [1, 8], [2, 3], [2, 4], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 8], [5, 6], [6, 7], [7, 8]]",6,"[7, 2, 3, 6, 8, 0, 1, 4, 5]","{""6"": 1, ""0"": 2, ""1"": 3, ""3"": 4, ""8"": 5, ""2"": 6, ""4"": 6, ""5"": 4, ""7"": 2}",512,7,1,8,6.0,5,9,9,8,0,1,[9],0.75
37,7,6,"[[0, 1], [1, 2], [1, 3], [1, 4], [1, 6], [3, 5]]",3,"[0, 2, 1, 3, 4, 5, 6]","{""1"": 1, ""4"": 2, ""3"": 3, ""5"": 3, ""6"": 1, ""2"": 2, ""0"": 1}",5040,1008,0,5,1.7142857142857142,2,2,1,1,0,1,[7],0.2857142857142857
38,6,5,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5]]",3,"[1, 2, 0, 3, 4, 5]","{""0"": 1, ""3"": 2, ""4"": 3, ""2"": 2, ""5"": 1, ""1"": 1}",720,240,0,5,1.6666666666666667,2,1,1,1,0,1,[6],0.3333333333333333
39,4,3,"[[0, 3], [1, 2], [2, 3]]",1,"[0, 3, 2, 1]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}",24,2,1,2,1.5,2,2,0,0,0,1,[4],0.5
40,3,0,[],1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,6,0,0,0.0,1,0,0,0,3,3,"[1, 1, 1]",0
41,7,6,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6]]",1,"[0, 1, 2, 3, 4, 5, 6]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}",5040,2,1,2,1.7142857142857142,2,5,0,0,0,1,[7],0.2857142857142857
